0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
86.91,86.88,86.89,86.94,86.87,86.94,86.83,86.85000000000001,86.91,86.87,86.85000000000001,86.88,86.86,86.89,86.83,86.87,86.87,86.87,86.88,86.88,86.9,86.83,86.9,86.91,86.91
86.25,86.48,86.42,86.61999999999999,86.58,86.32,86.58,86.27,86.53999999999999,86.42999999999999,86.33,86.68,86.49,86.39,86.24000000000001,86.44,86.32,86.42999999999999,86.53999999999999,86.46000000000001,86.5,86.33999999999999,86.26,86.59,86.48
84.00999999999999,83.93,83.81,84.49,84.00999999999999,84.03,84.1,84.17,84.06,84.14,84.24000000000001,84.07,84.11,83.94,83.89999999999999,84.1,83.91,84.1,83.94,84.16,84.00999999999999,83.85000000000001,83.89999999999999,84.27,83.98
78.95,78.88,78.92,78.58000000000001,78.9,78.85,78.85,78.97999999999999,78.97,79.10000000000001,78.7,78.95,78.81,79.13,78.69,78.79,79.02,79.02,78.92,79.02,78.84,78.74,78.67,79.12,78.68
70.39999999999999,70.36,70.54,70.5,70.39,70.7,70.56,70.24000000000001,70.6,70.3,70.74000000000001,70.71,70.25,70.5,70.71,70.59,70.46,70.38,70.7,70.53,70.62,70.34,70.46,70.5,70.56
