0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
85.05,84.82,84.77,85.03,85.22,85.04,84.82,84.98,85.04,85.33,85.44,85.06,84.91,85.04,84.77,84.98,85.04,84.72,85.02,85.03,85.11999999999999,84.93,85.19,85.04,85.14
83.48,83.02000000000001,82.99,83.37,83.56,83.36,83.2,83.45,83.44,83.67999999999999,83.3,83.08,83.65,83.35000000000001,83.7,83.58,83.26,83.78,82.82000000000001,83.11,83.61,83.38,83.49,83.11,83.54
81.83,81.8,81.73,81.43,81.67999999999999,81.36,81.76,81.82000000000001,81.78,81.52000000000001,81.43,81.89999999999999,81.73,82.05,81.78,81.76,82.08,81.61,81.51,81.2,81.66,81.55,81.6,81.67999999999999,81.54
80.53,79.79,79.71000000000001,79.67999999999999,80.0,79.77,79.88,79.69000000000001,79.95,80.25,79.86,79.99000000000001,80.11,80.11,79.88,80.04,79.94,79.88,80.12,80.13,79.95,79.72,80.14,80.0,79.58
78.09,78.19,77.94,78.09,78.67,78.23,78.4,78.09,78.52,78.35,78.06,77.88000000000001,78.51,78.69,78.16,77.86999999999999,77.89,78.22,78.38000000000001,78.13,78.59,77.98,78.10000000000001,77.79,77.91
