0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999,86.33999999999999
81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67
66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.72
48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57
